This Week's Date,11/2,11/2,11/3,11/4,11/5,11/6,11/7,11/8,,,
,"Time block each day, intent to better plan day",,X,,X,X,,,,0,
,Do 90 minutes of focused do not disturb work every workday OR,,,,,,1,,,1,
,Do 4 pomadoro time blocks each day,,,,1,,,,,1,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,X,,,,,,0,
,2 'nice' planned date nights a month,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,X,,,,,0,
,Read 10 pages of cook book each week,,,,,,,,1,1,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Keep strike count under 10,,,,,,,,,0,
,No drinking Tuesday-Thursday,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,,
,,,,,,,,,,15,
,,,,,,,,,,,
5/18 - 5/24,,,,,,,,,,,
,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,
,Physical Health,,,,,,,,,,
,Cardio Work Outs x2 (1 HIIT workout),,,X,,,,X,,0,
,Strength Work Outs x2,,X,,X,X,,,,0,
,Core Work Out x1 (Can be cardio focused core),,,,,,,,,0,
,No Zyns,X,X,,,,1,,,1,
,In bed by 11:15PM on weeknights,X,X,X,X,X,X,,,0,
,Awake by 7:25AM or 7:45 on weekdays; depending on WFH,,X,X,X,X,X,,,0,
,"Max 1 drinking per weeknight, 3 drink max",,,,,,,,,0,
,Max 10 drinks per weekend ,,,,,,,,,0,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,X,X,X,X,X,1,X,,1,
,Gratitude Journal x7,X,X,X,X,X,X,X,,0,
,Ten Minutes Written Journaling x2 (Wednesday & Sunday),,,,,,,,2,2,
,Read 50 pages of non-fiction,,,,,,,,,0,
,Read 1 chapter of a parenting book,,,,,,,,,0,
,Read 10 minutes every morning or evening,X,X,X,X,X,X,X,,0,
,Max 15 minutes of Instagram per day,X,X,X,X,X,X,X,,0,
,Set week specific goals on Monday,,,,,,,,,0,
,Review strikes each night or in morning of following day,X,X,X,X,X,1,1,,2,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,,,,,0,
,"Buy lunch max, x2 per weekdays",,,,,,,,,0,
,"Buy dinner max, x2 per weekdays",,,,,,,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,,,,0,
,Review expenses for 5 minutes at one point in the day,X,X,X,X,X,X,X,,0,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,X,X,X,X,1,,,1,
,"Time block each day, intent to better plan day",,X,X,X,X,X,,,0,
,Do 90 minutes of focused do not disturb work every workday OR,,,,,,,,,0,
,Do 4 pomadoro time blocks each day,,X,X,X,X,1,,,1,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,,,,,,0,
,Read 10 pages of cook book each week,,,,,,,,1,1,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Keep strike count under 10,,,,,,,,,0,
,No drinking Tuesday-Thursday,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,,
,,,,,,,,,,9,
,,,,,,,,,,,
5/25 - 5/31,,,,,,,,,,,
,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,
,Physical Health,,,,,,,,,,
,Cardio Work Outs x2 (1 HIIT workout),,X,,,,,X,injured,0,
,Strength Work Outs x2,,,,,X,,,,0,
,Core Work Out x1 (Can be cardio focused core),,,,,,,,,0,
,No Zyns,1,,1,,,,,,2,
,In bed by 11:15PM on weeknights,X,X,X,X,,,,,0,
,Awake by 7:25AM or 7:45 on weekdays; depending on WFH,,,X,X,,,,,0,
,"Max 1 drinking per weeknight, 3 drink max",,,1,,,,,,1,
,Max 10 drinks per weekend ,,,,,,,1,,1,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,X,X,X,X,X,1,1,,2,
,Gratitude Journal x7,X,X,X,X,X,X,X,,0,
,Ten Minutes Written Journaling x2 (Wednesday & Sunday),,,,,,X,,1,1,
,Read 50 pages of non-fiction,,,,,,,,,0,
,Read 1 chapter of a parenting book,,,,,,,,,0,
,Read 10 minutes every morning or evening,X,X,X,X,X,X,X,,0,
,Max 15 minutes of Instagram per day,X,X,X,X,X,X,X,,0,
,Set week specific goals on Monday,,,,,,,,,0,
,Review strikes each night or in morning of following day,1,X,X,X,,,,3,4,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,,,,,0,
,"Buy lunch max, x2 per weekdays",,,,,,,,,0,
,"Buy dinner max, x2 per weekdays",,,X,,,,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,,,,0,
,Review expenses for 5 minutes at one point in the day,X,1,X,X,X,X,X,,1,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,,1,X,X,X,,,1,
,"Time block each day, intent to better plan day",,,X,X,X,X,,,0,
,Do 90 minutes of focused do not disturb work every workday OR,,,,,,,,,0,
,Do 4 pomadoro time blocks each day,,,X,X,X,X,,,0,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,,,,,,0,
,Read 10 pages of cook book each week,,,,,,,,1,1,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Keep strike count under 10,,,,,,,,,0,
,No drinking Tuesday-Thursday,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,,
,,,,,,,,,,14,
,,,,,,,,,,,
6/1 - 6/7,,,,,,,,,,,
,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,
,Physical Health,,,,,,,,,,
,Cardio Work Outs x2 (1 HIIT workout),,,X,X,,,,,0,
,Strength Work Outs x2,,,,,,,,,0,<back is still tweaked so focusing on cardio
,Core Work Out x1 (Can be cardio focused core),,,,,,,,,0,
,No Zyns,1,X,X,X,X,,,,1,
,In bed by 11:15PM on weeknights,,,,,,,,,0,
,Awake by 7:25AM or 7:45 on weekdays; depending on WFH,,,,,,,,,0,
,"Max 1 drinking per weeknight, 3 drink max",,,,,,,,,0,
,Max 10 drinks per weekend ,,,,,,,,,0,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,X,X,X,X,1,,,,1,
,Gratitude Journal x7,X,X,X,X,X,,,,0,
,Ten Minutes Written Journaling x2 (Wednesday & Sunday),,,,,,,,,0,
,Read 50 pages of non-fiction,,,,,,,,,0,
,Read 1 chapter of a parenting book,,,,,,,,,0,
,Read 10 minutes every morning or evening,,,,,,,,,0,
,Max 15 minutes of Instagram per day,X,X,X,X,,,,,0,
,Set week specific goals on Monday,,,,,,,,,0,
,Review strikes each night or in morning of following day,X,X,1,1,1,,,,3,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,X,,,,0,
,"Buy lunch max, x2 per weekdays",,,,,,,,,0,
,"Buy dinner max, x2 per weekdays",,,,,X,,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,,,,0,
,Review expenses for 5 minutes at one point in the day,X,X,X,X,X,,,,0,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,1,X,1,X,1,,,3,
,"Time block each day, intent to better plan day",,X,X,X,1,,,,1,< did do it in the afternoon so bit of a asterik
,Do 90 minutes of focused do not disturb work every workday OR,,,,,,,,,0,
,Do 4 pomadoro time blocks each day,,X,1,X,X,,,,1,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,,,,,,0,
,Read 10 pages of cook book each week,,,,,,,,,0,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Keep strike count under 10,,,,,,,,,0,
,No drinking Tuesday-Thursday,,,X,X,X,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,,
,,,,,,,,,,10,
,,,,,,,,,,,
,,,,,,,,,,,
Paternity leave break for June and July,,,,,,,,,,,
,,,,,,,,,,,
8/3 - 8/9,,,,,,,,,,,
,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,
,Physical Health,,,,,,,,,,
,Triathlon training x4 (One must be an open water swim),X,,X,X,,,,,0,GOT SICK
,10 Minute Stretching/Mobility ,,X,X,,,,,2,2,
,Core Work Out x1 (Can be cardio focused core),,,,,,,,,0,
,No Zyns,X,X,X,X,X,X,X,,0,
,In bed by 11:15PM on weeknights,,-,X,1,X,,,,1,
,No drinking,X,X,X,X,X,X,X,,,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,X,X,1,1,1,1,1,,5,
,Gratitude Journal x7,X,1,X,1,1,1,1,,5,
,Ten Minutes Written Journaling x2 (Wednesday & Sunday),,,,,,,,2,2,
,Read 50 pages of non-fiction,,,,,,,,,0,
,Read 1 chapter of a parenting book,,,,,,,,,0,
,Read 10 minutes every morning or evening,X,X,X,X,X,X,X,,0,
,Max 15 minutes of Instagram per day,X,X,X,X,X,X,X,,0,
,Set week specific goals on Monday,X,,,,,,,,0,
,Review strikes each night or in morning of following day,X,1,X,X,1,1,1,,4,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,X,,,,0,
,"Buy lunch max, x2 per weekdays",,,,,,,,,0,
,"Buy dinner max, x2 per weekdays",,,,,,,,,0,
,"Buy lunch max, x1 per weekend",X,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,,,,0,
,Review expenses for 5 minutes at one point in the day,X,X,X,X,1,1,,,2,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,X,X,X,X,1,,,1,
,"Time block each day, intent to better plan day",,X,1,X,X,1,,,2,
,Do 90 minutes of focused do not disturb work every workday OR,,,1,X,,,,,1,
,Do 4 pomadoro time blocks each day,,,,,,,,,0,
,"^Want to find a better way to do this, ideally want to have this be automated where my day 'free time' is set based on number of hours without meetings and an LLM determine how many pom's or fixed work times I should have and I confirm during 30 min planning stage",,,,,,,,,,
,"Do 15 minutes of AI training (read newsletter, experiment with a new tool, watch a video, etc.)",,X,X,X,X,X,,,,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month - with baby this can be just planned apartment activites that I take lead on,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,,,,,1,1,
,Read 10 pages of cook book each week,,,,,,,,1,1,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Keep strike count under 10,,,,,,,,,0,
,Write baby gift thank you notes,,,,,,,,,0,
,"^Erich, Eamon, Mercers, Cleary's, Stu, Pat, Mom & Dad, Thackers, Alex W, and double check registry with Chels",,,,,,,,1,1,
,Return Amazon packages to Whole Foods,,,,,,,,,0,
,,,,,,,,,,,
,,,,,,,,,,28,
,,,,,,,,,,,
8/10 - 8/16,,,,,,,,,,,
,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,
,Physical Health,,,,,,,,,,
,Triathlon training x4 (One must be an open water swim),,X,,X,,X,,1,1,
,10 Minute Stretching/Mobility ,,,,,,,,,0,
,Core Work Out x1 (Can be cardio focused core),,,,,,,,,0,
,No Zyns,X,X,X,X,X,X,X,,0,
,In bed by 11:15PM on weeknights,X,X,X,1,X,,,,1,
,No drinking,X,X,X,X,X,X,X,,,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,1,1,X,1,1,1,1,,6,
,Gratitude Journal x7,X,X,X,X,X,X,1,,1,
,Ten Minutes Written Journaling x2 (Wednesday & Sunday),,,,,,X,1,,1,
,Read 50 pages of non-fiction,,,,,,,,,0,
,Read 1 chapter of a parenting book,,,,,,,,1,1,
,Read 10 minutes every morning or evening,X,X,X,1,X,X,,,1,
,Max 15 minutes of Instagram per day,X,X,X,X,X,X,X,,0,
,Set week specific goals on Monday,X,,,,,,,,0,
,Review strikes each night or in morning of following day,X,X,X,1,X,X,1,,2,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,,,,,0,
,"Buy lunch max, x2 per weekdays",,,,X,,,,,0,
,"Buy dinner max, x2 per weekdays",,,,,,,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,X,,,0,
,Review expenses for 5 minutes at one point in the day,1,X,X,X,X,X,1,,2,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,X,X,X,X,1,,,1,
,"Time block each day, intent to better plan day",,X,X,X,X,X,,,0,
,Do 90 minutes of focused do not disturb work every workday OR,,X,,,,X,,,0,
,Do 4 pomadoro time blocks each day,,,,1,X,,,,1,
,"^Want to find a better way to do this, ideally want to have this be automated where my day 'free time' is set based on number of hours without meetings and an LLM determine how many pom's or fixed work times I should have and I confirm during 30 min planning stage",,,,,,,,,,
,"Do 15 minutes of AI training (read newsletter, experiment with a new tool, watch a video, etc.)",X,X,X,X,X,X,1,,,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month - with baby this can be just planned apartment activites that I take lead on,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,,,,,,0,
,Read 10 pages of cook book each week,,,,,,,,1,1,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Keep strike count under 10,,,,,,,,,0,
,Write baby gift thank you notes,,,,,,,,1,1,
,"^Erich, Eamon, Mercers, Cleary's, Stu, Pat, Mom & Dad, Thackers, Alex W, and double check registry with Chels",,,,,,,,,0,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,20,
,,,,,,,,,,,
8/17 - 8/23,,,,,,,,,,,
,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,
,Physical Health,,,,,,,,,,
,Triathlon training x4 (One must be an open water swim),,,X,X,,X,X,,0,
,10 Minute Stretching/Mobility ,,,,,,,,1,1,
,Core Work Out x1 (Can be cardio focused core),,,,,,,,,0,
,No Zyns,X,X,X,X,X,X,X,,0,
,In bed by 11:15PM on weeknights,,X,X,X,X,X,X,,0,
,No drinking,X,X,X,X,X,X,X,,,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,X,1,1,1,1,1,1,,6,
,Gratitude Journal x7,1,X,X,X,X,,,,1,
,Ten Minutes Written Journaling x2 (Wednesday & Sunday),,,,,,,,2,2,
,Read 50 pages of non-fiction,,,,,,,,1,1,
,Read 1 chapter of a parenting book,,,,,,,,1,1,
,Read 10 minutes every morning or evening,X,X,X,X,X,X,X,,0,
,Max 15 minutes of Instagram per day,X,X,X,X,X,X,X,,0,
,Set week specific goals on Monday,X,,,,,X,X,,0,
,Review strikes each night or in morning of following day,X,X,X,X,1,1,1,,3,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,X,,,,0,
,"Buy lunch max, x2 per weekdays",,,,,X,,,,0,
,"Buy dinner max, x2 per weekdays",,,,,X,,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,1,,,1,
,Review expenses for 5 minutes at one point in the day,X,X,X,X,X,X,1,,1,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,X,1,X,X,X,,,1,
,"Time block each day, intent to better plan day",,X,X,X,X,X,,,0,
,Do 90 minutes of focused do not disturb work every workday OR,,,,,,,,,0,
,Do 4 pomadoro time blocks each day,,X,1,X,X,X,,,1,
,"^Want to find a better way to do this, ideally want to have this be automated where my day 'free time' is set based on number of hours without meetings and an LLM determine how many pom's or fixed work times I should have and I confirm during 30 min planning stage",,,,,,,,,,
,"Do 15 minutes of AI training (read newsletter, experiment with a new tool, watch a video, etc.)",X,X,X,X,1,X,1,,,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month - with baby this can be just planned apartment activites that I take lead on,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,,,,,1,1,
,Read 10 pages of cook book each week,,,,,,,,1,1,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Keep strike count under 10,,,,,,,,,0,
,Write baby gift thank you notes,,,,,,,,1,1,
,"^Erich, Eamon, Mercers, Cleary's, Stu, Pat, Mom & Dad, Thackers, Alex W, and double check registry with Chels",,,,,,,,,0,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,22,
,,,,,,,,,,,
8/24 - 8/30,,,,,,,,,,,
,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,
,Physical Health,,,,,,,,,,
,"2 Strength Training (Each session have 1 heavy, strength building and rest size)",,,,,,,,,0,
,2 Cardio Training ((1 swim),,,,,,,,,,
,10 Minute Stretching/Mobility ,,,,X,,,,,0,
,Core Work Out x1 (Can be cardio focused core),,,,,,,,,0,
,No Zyns,X,X,X,X,X,X,X,,0,
,In bed by 11:15PM on weeknights,X,1,,X,X,X,X,,1,
,No drinking,X,X,X,X,X,X,X,,,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,1,1,,X,1,1,1,,5,
,Gratitude Journal x7,X,X,X,1,1,1,1,,4,
,Ten Minutes Written Journaling x2 (Wednesday & Sunday),,X,,,,,,,0,
,Read 50 pages of non-fiction,,,,,,,,1,1,
,Read 1 chapter of a parenting book,,,,,,,,1,1,
,Read 10 minutes every morning or evening,X,X,,X,X,X,X,,0,
,Max 15 minutes of Instagram per day,X,X,,X,X,X,X,,0,
,Set week specific goals on Monday,,,,,,,,,0,
,Review strikes each night or in morning of following day,,X,X,1,X,1,1,,3,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,X,,,,,,,0,
,"Buy lunch max, x2 per weekdays",,,,X,,,,,0,
,"Buy dinner max, x2 per weekdays",,X,X,,,,,,0,
,"Buy lunch max, x1 per weekend",X,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,,,,0,
,Review expenses for 5 minutes at one point in the day,1,,X,1,,,,,2,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,1,X,,X,1,,,2,
,"Time block each day, intent to better plan day",,X,X,,X,1,,,1,
,Do 90 minutes of focused do not disturb work every workday OR,,X,,,,1,,,1,
,Do 4 pomadoro time blocks each day,,,,,,,,,0,
,"^Want to find a better way to do this, ideally want to have this be automated where my day 'free time' is set based on number of hours without meetings and an LLM determine how many pom's or fixed work times I should have and I confirm during 30 min planning stage",,,,,,,,,,
,"Do 15 minutes of AI training (read newsletter, experiment with a new tool, watch a video, etc.)",,X,X,X,1,1,,,2,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month - with baby this can be just planned apartment activites that I take lead on,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,,,,,,0,
,Read 10 pages of cook book each week,,,,,,,,,0,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Keep strike count under 10,,,,,,,,,0,
,Write baby gift thank you notes,,X,,,,,,,0,
,"^Cleary's, Mom & Dad, Thackers, Alex W, and double check registry with Chels",,,,,,,,,0,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,23,
,,,,,,,,,,,
8/31 - 9/6,,,,,,,,,,,
,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,
,Physical Health,,,,,,,,,,
,"2 Strength Training (Each session have 1 heavy, strength building and rest size)",,,,,,,X,1,1,
,2 Cardio Training ((1 swim),,,,,,,,2,,
,10 Minute Stretching/Mobility ,,,,,,,,,0,
,Core Work Out x1 (Can be cardio focused core),,,,,,,,,0,
,No Zyns,1,1,X,1,X,,X,,3,
,In bed by 11:15PM on weeknights,,,X,X,X,,X,,0,
,No drinking,1,X,1,1,1,1,X,,,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,1,1,X,X,X,X,X,,2,
,Gratitude Journal x7,,X,X,X,X,X,X,,0,
,Ten Minutes Written Journaling x2 (Wednesday & Sunday),,,,,,,X,1,1,
,Read 50 pages of non-fiction,,,,,,,,1,1,
,Read 1 chapter of a parenting book,,,,,,,,,0,
,Read 10 minutes every morning or evening,X,X,X,X,X,X,X,,0,
,Max 15 minutes of Instagram per day,X,X,X,X,X,X,X,,0,
,Set week specific goals on Monday,,,,,,,,,0,
,Review strikes each night or in morning of following day,,X,X,X,X,X,X,,0,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,,,,,0,
,"Buy lunch max, x2 per weekdays",,,,,,,,,0,
,"Buy dinner max, x2 per weekdays",,,,,,,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,,,,0,
,Review expenses for 5 minutes at one point in the day,X,X,X,X,X,X,X,,0,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,,X,X,X,1,,,1,
,"Time block each day, intent to better plan day",,,X,,X,1,,,1,
,Do 90 minutes of focused do not disturb work every workday OR,,,X,X,,1,,,1,
,Do 4 pomadoro time blocks each day,,,,,,,,,0,
,"^Want to find a better way to do this, ideally want to have this be automated where my day 'free time' is set based on number of hours without meetings and an LLM determine how many pom's or fixed work times I should have and I confirm during 30 min planning stage",,,,,,,,,,
,"Do 15 minutes of AI training (read newsletter, experiment with a new tool, watch a video, etc.)",,X,X,X,X,1,1,,2,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month - with baby this can be just planned apartment activites that I take lead on,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,,,,,,0,
,Read 10 pages of cook book each week,,,,,,,,,0,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Keep strike count under 10,,,,,,,,,0,
,Write baby gift thank you notes,,,,,,,,,0,
,"^Cleary's, Mom & Dad, Thackers, Alex W, and double check registry with Chels",,,,,,,,,0,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,13,
,,,,,,,,,,,
9/7 - 9/13,,,,,,,,,,,
,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,
,Physical Health,,,,,,,,,,
,"2 Strength Training (Each session have 1 heavy, strength building and rest size)",,X,,X,,,,,0,
,2 Cardio Training ((1 swim),,,,,,,,2,,
,10 Minute Stretching/Mobility ,,,,,X,,,,0,
,Core Work Out x1 (Can be cardio focused core),,,,,,,,,0,
,No Zyns,X,X,X,X,X,1,,,1,
,In bed by 11:15PM on weeknights,1,X,X,1,X,,,,2,
,No drinking,X,X,X,X,X,1,,,,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,1,X,X,X,X,1,1,,3,
,Gratitude Journal x7,X,X,X,X,X,X,X,,0,
,Ten Minutes Written Journaling x2 (Wednesday & Sunday),,,,,,,X,1,1,
,Read 50 pages of non-fiction,,,,,,,,1,1,
,Read 1 chapter of a parenting book,,,,X,,,,,0,
,Read 10 minutes every morning or evening,X,X,X,X,X,,,,0,
,Max 15 minutes of Instagram per day,X,X,X,X,X,X,X,,0,
,Set week specific goals on Monday,,,,,,,,,0,
,Review strikes each night or in morning of following day,,X,X,X,X,X,1,,1,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,,,,,0,
,"Buy lunch max, x2 per weekdays",,,,,,,,,0,
,"Buy dinner max, x2 per weekdays",,,,,X,,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,X,,0,
,"Buy dinner max, x1 per weekend",,,,,,X,,,0,
,Review expenses for 5 minutes at one point in the day,X,X,X,1,X,X,X,,1,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,X,X,X,X,X,,,0,
,"Time block each day, intent to better plan day",,X,X,X,X,X,,,0,
,Do 90 minutes of focused do not disturb work every workday OR,,1,X,X,X,1,,,2,
,Do 4 pomadoro time blocks each day,,,,,,,,,0,
,"^Want to find a better way to do this, ideally want to have this be automated where my day 'free time' is set based on number of hours without meetings and an LLM determine how many pom's or fixed work times I should have and I confirm during 30 min planning stage",,,,,,,,,,
,"Do 15 minutes of AI training (read newsletter, experiment with a new tool, watch a video, etc.)",,1,X,X,X,1,,,2,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month - with baby this can be just planned apartment activites that I take lead on,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,,,,,,0,
,Read 10 pages of cook book each week,,,,,,,,,0,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Keep strike count under 10,,,,,,,,,0,
,Write baby gift thank you notes,,,,,,,,,0,
,"^Cleary's, Mom & Dad, Thackers, Alex W, and double check registry with Chels",,,,,,,,1,1,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,15,
,,,,,,,,,,,
9/7 - 9/13,,,,,,,,,,,
